a,v,t,Rpred,Mpred,Vpred
1.061810178271043625e+00,7.776993932579294722e-01,2.046822734943624100e-01,6.954595924378217386e-01,4.715475770942026967e-01,4.642458893418111021e-02
1.926071459614874248e+00,1.312851421067537272e+00,1.987915196287999287e-01,9.261257466928046744e-01,8.239564284230499469e-01,2.154560085058041530e-01
1.597990912717107692e+00,1.809418753814612479e+00,4.625018322084146760e-01,9.474213970300267018e-01,8.576427165956613807e-01,8.183786547585432392e-02
1.397987726295554900e+00,1.598337329614341717e+00,1.998184799398024514e-01,9.033012794458952222e-01,5.525664438509596543e-01,7.125642752946634295e-02
7.340279606636548326e-01,1.709841721792174640e+00,2.087798904514523990e-01,7.781765501479168679e-01,3.281999298662730546e-01,9.034904837997995500e-03
7.339917805043039145e-01,1.488175050066075977e+00,4.037593049671854839e-01,7.488161317652608506e-01,5.264794080655867958e-01,9.657203169286941724e-03
5.871254182522991361e-01,1.538414846776778644e+00,2.798959369802159758e-01,7.116153731896064372e-01,3.606574849806635785e-01,4.233388104823211130e-03
1.799264218662402826e+00,1.773793477347978875e+00,4.106842227820725055e-01,9.605140286706763675e-01,8.778109906728023271e-01,1.094426921407710418e-01
1.401672517614813263e+00,8.745020132887788566e-01,1.261464630257541075e-01,7.730765677404481950e-01,5.638400467910891223e-01,1.216474428969862992e-01
1.562108866694068343e+00,1.234137445464710714e+00,2.950284774693537337e-01,8.730120375418001233e-01,7.671682811589324302e-01,1.323725921767336111e-01
5.308767414437036702e-01,8.318141627294033391e-01,1.134454400733130586e-01,6.086380193344445022e-01,1.827799143889778100e-01,3.184158602181015423e-03
1.954864778242991541e+00,1.981502011994970447e+00,1.250612813821418146e-01,9.796391129204721215e-01,5.982526293797858497e-01,1.011031956165210494e-01
1.748663961200632500e+00,1.916089009529919895e+00,4.625749813377644237e-01,9.661243405739559087e-01,8.879700604526203911e-01,8.860884561686818706e-02
8.185086660174142326e-01,5.591402170527588478e-01,1.556981484470380817e-01,6.124591807256594134e-01,3.203237847183159626e-01,1.794252537691094773e-02
7.727374508106509277e-01,1.558362758773532697e+00,3.129682729100868865e-01,7.692720319724395406e-01,4.464908320122744079e-01,1.133938408923922114e-02
7.751067647801507254e-01,1.887872476123498622e+00,2.644382410402826289e-01,8.120372986428255890e-01,3.925518843613670095e-01,1.021681107677666935e-02
9.563633644393065847e-01,7.708630176910002962e-01,2.389373305035370765e-01,6.763887749809609495e-01,4.577722705884945675e-01,3.135845726448633491e-02
1.287134647448356706e+00,1.351917845828944253e+00,4.599333382749090093e-01,8.506998049683445196e-01,7.938277914185152273e-01,6.755857922510555280e-02
1.147917527963173701e+00,1.873232446382062655e+00,1.087293587101958031e-01,8.956983357473032870e-01,3.512134435163705715e-01,3.402093578846399069e-02
9.368437102970628150e-01,5.509189678786983180e-01,3.655158744702357021e-01,6.262412091552832516e-01,5.801904267602260301e-01,3.045320605798089789e-02
1.417779342083569150e+00,1.546130400870259880e+00,4.853577736854202129e-01,8.995352880613501911e-01,8.517258869622531536e-01,7.726874108078637948e-02
7.092407909780626962e-01,9.460235110588262053e-01,3.240672733847367870e-01,6.617177419304283159e-01,4.453082550951702467e-01,9.654858854900662951e-03
9.382169728028272315e-01,1.886594293064795647e+00,4.747289848132367762e-01,8.544619970562276068e-01,6.510054969781745582e-01,1.877126442774500886e-02
1.049542764940537554e+00,1.956587367748051642e+00,1.209031517144095180e-01,8.863030254324405499e-01,3.281218796385830805e-01,2.513340814771064177e-02
1.184104976325553782e+00,1.916399733670150818e+00,2.675173276296645697e-01,9.062954374252445433e-01,5.185591331887993150e-01,3.593363931536069922e-02
1.677763942089520288e+00,1.211321324986195602e+00,2.040631163848204699e-01,8.841480293298469295e-01,7.361347465459666672e-01,1.661156854807729066e-01
7.995106732375396597e-01,1.793063976483970201e+00,3.923283859922919170e-01,8.074575425123624584e-01,5.294208656973605764e-01,1.173018144375823080e-02
1.271351657620417352e+00,1.766824097802605520e+00,4.925188361988986907e-01,9.043269871783838898e-01,7.834599581867751628e-01,4.840244034965197201e-02
1.388621853293063646e+00,9.786507098648834502e-01,2.026120249776991455e-01,7.955931818514682119e-01,6.220335283453819475e-01,1.105051698526170884e-01
5.696756190799965314e-01,1.743373211226016073e+00,3.616698405896298096e-01,7.297110798748234206e-01,4.367316809314333304e-01,3.636899812359174148e-03
1.411317277852157659e+00,5.555114520732389316e-01,1.792390531038960677e-01,6.865421908685511720e-01,6.531630668008657770e-01,1.467340804287254608e-01
7.557861855309373489e-01,1.394404817723079670e+00,3.261321018286439388e-01,7.415177165022748262e-01,4.570379559775551437e-01,1.101746236764264419e-02
5.975773894779192741e-01,8.450132559315546299e-01,2.855729946753344795e-01,6.236244310871232877e-01,3.729978537366221980e-01,5.052486597894614156e-03
1.923328305879999922e+00,6.808503286659182141e-01,4.888021318526148962e-01,7.874292596957780388e-01,1.300758604274740105e+00,4.158481696315889931e-01
1.948448049611839039e+00,6.154298024438137338e-01,3.434109090785866236e-01,7.683705128003868179e-01,1.193070773067675727e+00,4.593434613374127728e-01
1.712596022174691646e+00,1.544433163817209742e+00,2.398025488347275136e-01,9.337015353694639863e-01,7.207269045698836418e-01,1.255050221540853495e-01
9.569206537600560836e-01,1.009812445652099155e+00,1.456383139551733485e-01,7.243834688768249208e-01,3.582690620263205838e-01,2.923341198166064248e-02
6.465081710095758050e-01,1.587150157293142128e+00,1.604987314939738396e-01,7.361601782459933352e-01,2.566959842879406595e-01,5.960620156615779180e-03
1.526349539768235397e+00,5.980345111984135542e-01,1.901267719804940470e-01,7.135747702076680188e-01,7.352286784897408278e-01,1.927482345847144340e-01
1.160228740609401843e+00,9.729355067459155570e-01,2.003866645361191967e-01,7.556224973609112494e-01,5.052173199373439783e-01,5.943143689494213844e-02
6.830573522671682385e-01,1.309236938563005825e+00,4.402464231364551228e-01,7.097734308484260346e-01,5.496897790568855413e-01,7.778282794721777180e-03
1.242765365166905278e+00,1.686084747258445260e+00,3.244891153130099459e-01,8.904560322474466272e-01,6.122832100562440871e-01,4.823999167668392013e-02
5.515827816728275934e-01,9.781287543981048715e-01,3.093563645497465764e-01,6.317005129418890030e-01,3.836244350359546695e-01,3.641853145287021580e-03
1.863980603118173152e+00,1.438837064655513753e+00,1.459075487476869937e-01,9.359539775075985668e-01,7.106759842348108203e-01,1.721998650312268342e-01
8.881699724000253759e-01,1.828966622354280647e+00,4.440558773397740300e-01,8.354056199205853739e-01,6.069332073832390817e-01,1.626507113465368998e-02
1.493783426530972847e+00,1.423794782273456905e+00,3.891257212833935109e-01,8.934847451639928995e-01,8.019527650657787277e-01,9.888868299388155203e-02
9.675666141341163762e-01,8.494392121304505938e-01,1.270673447600006445e-01,6.946371799368116218e-01,3.487717757383436146e-01,3.204813715133331131e-02
1.280102031766716220e+00,5.366011723348069751e-01,3.831340388919074469e-01,6.652779085003917015e-01,7.774167900028130518e-01,1.020362716026995409e-01
1.320065419014919472e+00,1.805148310851394822e+00,3.174152869370584495e-01,9.155150863729800692e-01,6.212723679883467298e-01,5.188608355947255113e-02
7.772816832882905036e-01,5.319041162755806518e-01,1.326901382987113187e-01,6.019122774721785696e-01,2.816165033285262798e-01,1.470230589725940451e-02
1.954376941646837729e+00,1.812052509026299107e+00,2.833202566114625953e-01,9.718439676754426770e-01,7.922243672189202002e-01,1.231562158896950254e-01
1.662699235041671830e+00,1.293405701040817979e+00,2.938785148520187684e-01,8.957196632391376534e-01,8.025841598241973962e-01,1.497272601404837644e-01
1.909248412346283619e+00,1.908601547769344320e+00,1.663098160653103119e-01,9.745185911511589083e-01,6.409892313906262462e-01,1.054586910788575527e-01
1.842241025641473184e+00,1.698174853660498140e+00,4.782792588001129053e-01,9.580510388385377052e-01,9.751894643464447121e-01,1.250135668952135903e-01
1.396849968216627769e+00,1.996901165800006206e+00,4.399901485922648181e-01,9.420987611301785414e-01,7.492421291157460583e-01,5.086177513347014262e-02
1.882811352534675242e+00,1.026067723177565227e+00,3.676089349316433719e-01,8.734586831291707432e-01,1.052897276446474795e+00,2.787448755439431713e-01
6.327387530778791902e-01,1.650782433396690285e+00,2.849182244002428921e-01,7.397200494659912362e-01,3.768020257530220185e-01,5.431428471895768419e-03
7.939742936287177422e-01,1.102896370413863236e+00,2.647062166338034483e-01,7.059244195510454567e-01,4.129510562578490029e-01,1.428654085577445512e-02
5.678409333658070990e-01,1.219813430455863212e+00,3.603893868603816886e-01,6.665583948379322221e-01,4.379247476157855368e-01,3.944806945882951311e-03
9.879954961448964568e-01,1.441258194827555128e+00,3.181727477627621647e-01,8.059579380353980582e-01,5.279096747572489257e-01,2.747868296779082398e-02
1.083015934534222957e+00,1.810515671279508076e+00,1.249092423527542461e-01,8.766213781728949828e-01,3.501969657996479857e-01,3.002733464789763065e-02
9.070235476608439207e-01,1.976125203798942742e+00,3.050010595081327214e-01,8.572203037740887543e-01,4.689619394173512035e-01,1.620166114764897553e-02
1.743106263727894012e+00,1.652410120796777182e+00,4.225614468931357948e-01,9.468652892434239465e-01,8.939539147310806566e-01,1.166563084037166853e-01
1.035129990040383863e+00,1.126650173251000586e+00,2.836959510387832006e-01,7.624627827939304270e-01,5.248383252999069271e-01,3.709056128056530122e-02
9.214017645310711435e-01,1.132035503415605326e+00,1.207826310217073734e-01,7.394399091318312189e-01,3.156708249940408106e-01,2.443708539496333362e-02
1.314044124737372643e+00,1.606373452383337286e+00,4.145112797536132376e-01,8.919528529612936740e-01,7.351361897604873352e-01,5.976377060806484925e-02
7.113863374621439695e-01,8.581657186524535019e-01,1.805455128543897725e-01,6.480519691849674357e-01,3.032748946315315663e-01,9.918558274530957924e-03
1.703295471131059502e+00,6.657111696970919867e-01,2.034483339552155268e-01,7.565584314180533454e-01,8.598813851141704490e-01,2.754998721060280542e-01
6.118259655196562896e-01,1.031933236461164860e+00,1.658825413729183573e-01,6.527985784104457512e-01,2.564757449474018292e-01,5.399739881596979200e-03
1.980330404900775942e+00,9.308584874811225429e-01,2.320860259485990340e-01,8.633511923791783449e-01,1.005087962980440563e+00,3.581485164168502489e-01
1.658367153944986239e+00,9.444621806839851308e-01,4.027006022754540115e-01,8.272505108128392903e-01,9.773149270657847110e-01,2.035785235285925143e-01
7.980735223012586088e-01,8.504116265748649095e-01,3.077543438015749588e-01,6.634464800736156187e-01,4.611416023759491445e-01,1.544817279719674225e-02
5.082831756854035987e-01,5.631397844545428244e-01,1.819525096602850334e-01,5.710740219025889353e-01,2.461030643868938328e-01,2.736058384537627414e-03
1.723192142682251182e+00,5.268109021001207148e-01,4.511320312608163574e-01,7.125490279377364455e-01,1.146377352526869453e+00,3.136456110578762502e-01
1.560286015771425561e+00,1.981583584604047266e+00,4.518327419806117407e-01,9.565547771636900842e-01,8.113210016618128684e-01,6.578501275113884939e-02
1.593510752061480851e+00,1.141659700603793404e+00,4.482313700184027416e-01,8.604757494503999515e-01,9.513777824763675062e-01,1.521328023077082592e-01
1.656905520028918666e+00,1.076489970739522573e+00,1.955184845526157233e-01,8.561460183240681143e-01,7.436892243989743356e-01,1.812647356256454900e-01
6.110669776011354859e-01,1.519470924039604709e+00,2.804957376723952178e-01,7.167705654682690053e-01,3.676716962102708486e-01,4.925195246455796143e-03
1.037698592816408860e+00,8.273808317975962501e-01,4.939958624563500766e-01,7.023622021989266440e-01,7.477979381036938822e-01,4.191558370855675425e-02
6.738035892876945709e-01,1.924941775925337994e+00,4.088049905239962145e-01,7.853351640114016874e-01,5.086832622023457207e-01,6.298726187868804866e-03
1.794655138813390227e+00,1.679517521623328014e+00,1.108669684902239272e-01,9.532095102658318941e-01,5.951457962404290702e-01,1.207567273967590366e-01
1.434947190241336878e+00,6.341165034683893253e-01,1.260818365041968259e-01,7.129845481225766113e-01,6.080462345630266441e-01,1.507088390997509963e-01
9.963470372789737795e-01,1.126371163677392540e+00,2.855725507249331496e-01,7.544070474070742049e-01,5.106117883412195635e-01,3.240556676510111811e-02
5.953375254290353968e-01,1.818677461343247037e+00,4.636880823446241084e-01,7.470096843402787012e-01,5.445458140523325996e-01,4.195189675923809321e-03
9.664734825734933032e-01,1.917098033437115490e+00,3.154807191810856670e-01,8.644583804815266781e-01,4.992164249684185595e-01,2.021365185633423184e-02
9.877749830401205688e-01,1.201102266874804592e+00,2.991250032137161008e-01,7.660999525787790532e-01,5.179630517250989330e-01,3.050065957824072901e-02
1.594409267507096217e+00,1.420117083816061498e+00,1.421894799826522449e-01,9.058724588934449207e-01,5.978750127182190788e-01,1.184705502436042557e-01
1.456336207032819630e+00,7.505509191381127820e-01,3.627120418897176179e-01,7.489564633843519559e-01,8.457762849097902880e-01,1.496260318371696874e-01
1.830819113864489811e+00,1.986752939205464807e+00,4.288412642400901698e-01,9.743539545802101243e-01,8.659647080488441784e-01,8.952326994478547462e-02
1.208322387742923887e+00,8.475075520751651492e-01,2.521680030030249431e-01,7.357631401064790300e-01,5.883040996049870852e-01,7.278714723994099411e-02
6.793913689074525530e-01,1.914097661202688538e+00,4.102447403701310336e-01,7.859059005226628480e-01,5.117244114819808898e-01,6.500536063196182129e-03
1.569867180834492615e+00,1.474469973488552688e+00,4.857906615603246880e-01,9.100889931058597782e-01,9.224121344107856224e-01,1.080742930332002777e-01
1.641177572925346162e+00,1.411605192318288626e+00,1.815065836510756370e-01,9.102502878738021330e-01,6.584767559121287306e-01,1.289394168760429615e-01
1.341915796354244295e+00,1.269032766524762934e+00,3.093318524778965184e-01,8.459176892063863251e-01,6.751162700509710790e-01,8.139028616124786841e-02
1.656450769931841371e+00,8.460047175766380878e-01,2.148551832338302381e-01,8.024004303890797107e-01,8.069457654005126601e-01,2.194219478757188091e-01
1.240693394546586115e+00,7.647920480082623929e-01,4.171417676135357189e-01,7.208883605077541779e-01,7.754806527103574876e-01,8.311554736204980476e-02
1.284099244072991031e+00,8.307293136052630311e-01,3.310373463524630133e-01,7.439762471358383200e-01,7.081634563716899811e-01,9.136040506530083982e-02
1.141311527537824499e+00,7.796573932163817222e-01,3.538329670201215693e-01,7.088554959398050137e-01,6.595687776206800024e-01,6.071683477666148243e-02
5.381286901161428382e-01,1.669376710350130022e+00,4.191656638463576723e-01,7.106081503775473207e-01,4.870558454858767705e-01,2.992380168479512239e-03
6.618371404899566768e-01,1.025187888750095144e+00,2.583881890649819546e-01,6.634054878093640362e-01,3.638789210360446891e-01,7.306858608284629540e-03
5.471437785301014323e-01,5.867640148450945503e-01,4.660360273628173511e-01,5.795787301296128069e-01,5.402413398771479525e-01,3.658386438444323398e-03
1.454615616895670538e+00,1.953653945211216936e+00,3.132115468984559836e-01,9.448940723750920423e-01,6.444625686709715140e-01,5.792271599969385509e-02
9.715339716144899551e-01,1.825678827445138541e+00,1.631819291341392031e-01,8.549183155442908744e-01,3.520515131573078715e-01,2.154074994317660766e-02
1.262856036747054045e+00,1.891628424792819452e+00,3.783596472675210265e-01,9.159734358633186968e-01,6.560645906492745816e-01,4.330570589393808317e-02
1.861349710889139475e+00,1.992361733969652882e+00,4.173045401753018302e-01,9.760718809956238085e-01,8.620712925903282198e-01,9.166092702324833696e-02
8.739383437233123608e-01,7.608428738292309923e-01,2.267046708270106792e-01,6.603669198788998385e-01,4.109093274883954816e-01,2.229271085798376420e-02
1.115574384553444709e+00,1.094363028353988021e+00,4.428717027995011657e-01,7.722119313894497683e-01,7.203597483200434581e-01,4.891206411810920807e-02
1.633326707814573009e+00,1.637357713556137018e+00,4.624573019063066281e-01,9.354954237959635099e-01,8.968805809050690581e-01,1.019944044717090853e-01
8.431972482374336941e-01,1.544030927080688453e+00,2.107617949511235711e-01,7.861583805152098092e-01,3.670332496082595042e-01,1.541335922092819562e-02
6.154698647431895431e-01,7.308438595097825896e-01,4.934085890860888668e-01,6.105946226331749882e-01,5.865442931734449195e-01,5.744117902152598258e-03
9.346271793706519837e-01,1.723749687485926607e+00,1.562846112195033776e-01,8.335589604727811075e-01,3.371422337871811115e-01,2.008059512917766132e-02
7.418319308810066293e-01,8.366608577549909942e-01,1.808062673609960036e-01,6.503690359499872953e-01,3.141321559209226399e-01,1.170042626242084535e-02
1.894546478513859711e+00,8.357264222339346738e-01,1.736899356952104623e-01,8.296745575527274541e-01,9.210442797131892512e-01,3.438135068351982349e-01
1.712180569346625436e+00,1.305461634340120414e+00,4.575958840031482122e-01,9.033650313255620068e-01,9.866300209110618891e-01,1.602592089370007411e-01
1.450105634765635143e+00,1.389409902262554786e+00,3.617170209299848116e-01,8.823413255647820641e-01,7.607607514391703241e-01,9.362569943052455324e-02
1.807190885281576564e+00,1.370129311756716817e+00,1.608417132889091716e-01,9.224482058283162145e-01,7.180479131165992124e-01,1.723629275987152154e-01
1.705508115348671749e+00,6.372302560966323082e-01,2.761293673473396160e-01,7.477789209096238343e-01,9.392946147294680692e-01,2.821172169001294749e-01
7.798550883290538138e-01,1.816191293945570440e+00,3.461192100279207873e-01,8.047680910974098767e-01,4.769836995753365949e-01,1.070481616301033161e-02
1.838838497734966548e+00,8.984000638830591523e-01,1.333856339957533166e-01,8.391628767890483287e-01,8.275816608155187604e-01,2.946556364037093978e-01
1.309013362873476138e+00,6.942723819242062611e-01,4.529665473629355121e-01,7.127569639602295837e-01,8.541083990616181731e-01,1.044078446834073304e-01
1.711160232746093746e+00,1.833122119803465733e+00,4.214414141766140709e-01,9.583840737516444719e-01,8.493281271535220167e-01,9.258104252500821973e-02
